node435	0.034429	435
node407	0.004269	407
node409	0.002654	409
node417	0.000572	417
node411	0.000465	411
node405	0.000435	405
node410	0.000359	410
node415	0.000357	415
node448	0.000189	448
node439	0.000153	439
node413	0.000113	413
node434	0.000103	434
node431	0.000093	431
node423	0.000075	423
node424	0.000067	424
node420	0.000064	420
node414	0.000053	414
node444	0.000043	444
node445	0.000042	445
node408	0.000040	408
node426	0.000040	426
node432	0.000039	432
node404	0.000035	404
node429	0.000033	429
node427	0.000033	427
node403	0.000032	403
node425	0.000028	425
node412	0.000022	412
node438	0.000018	438
node433	0.000013	433
node418	0.000012	418
node441	0.000006	441
node401	0.000005	401
node440	0.000005	440
node447	0.000004	447
node428	0.000004	428
node450	0.000004	450
node437	0.000004	437
node430	0.000002	430
node419	0.000002	419
node436	0.000002	436
node443	0.000002	443
node442	0.000002	442
node449	0.000001	449
node421	0.000001	421
node402	0.000001	402
node406	0.000001	406
node422	0.000001	422
node416	0.000001	416
node446	0.000001	446
