node215	0.025718	215
node220	0.025320	220
node214	0.024656	214
node219	0.020308	219
node232	0.019913	232
node240	0.014477	240
node230	0.011407	230
node237	0.008447	237
node208	0.008331	208
node223	0.007826	223
node226	0.007370	226
node212	0.006765	212
node209	0.006709	209
node236	0.006519	236
node225	0.005426	225
node234	0.005036	234
node207	0.004784	207
node216	0.004580	216
node228	0.004294	228
node239	0.004239	239
node202	0.003570	202
node233	0.003467	233
node211	0.003449	211
node203	0.002973	203
node206	0.002664	206
node227	0.002280	227
node221	0.002128	221
node218	0.001492	218
node217	0.001127	217
node231	0.000957	231
node201	0.000952	201
node213	0.000941	213
node204	0.000941	204
node229	0.000941	229
node210	0.000941	210
node235	0.000941	235
node224	0.000941	224
node205	0.000941	205
node238	0.000941	238
