strength uniformity V3
module6 0.432276608169328 0.363440309929122 6
module4 0.169307078884276 0.115812445836851 4
module3 0.0909855288275857 0.0632959684764218 3
module7 0.0618931848454354 0.0315561270183557 7
module8 0.0607323540238072 0.028577907840704 8
module1 0.0450914463990682 0.0261164969012654 1
module9 0.0494041095152224 0.0237056454892704 9
module5 0.0250046241998619 0.0161896474157678 5
module2 0.0304418947166881 0.0119007391136042 2
