gene.symbol	module.id
Tom20	module 4
Tom7	module 4
UQCR-6.4	module 4
UQCR-C1	module 4
UQCR-C2	module 4
Vha44	module 4
Vha55	module 4
Vha68-1	module 4
ATPsynC	module 4
ATPsynCF6	module 4
ATPsynD	module 4
ATPsyndelta	module 4
ATPsynE	module 4
ATPsynF	module 4
ATPsynG	module 4
ATPsyngamma	module 4
ATPsynO	module 4
CG31808	module 4
CG6329	module 4
CG7630	module 4
COX5A	module 4
COX5B	module 4
COX6B	module 4
COX7A	module 4
COX7C	module 4
COX8	module 4
cpx	module 4
cype	module 4
Cyt-c-p	module 4
Gapdh1	module 4
levy	module 4
ND-B17.2	module 4
ND-B22	module 4
nrv3	module 4
porin	module 4
RFeSP	module 4
roh	module 4
UQCR-14	module 4
UQCR-Q	module 4
Vha13	module 4
alc	module 4
Atpalpha	module 4
Cbp53E	module 4
CG12822	module 4
CG6044	module 4
CG7781	module 4
CG7990	module 4
CG8187	module 4
Cisd2	module 4
Drat	module 4
Fas1	module 4
Gpdh1	module 4
igl	module 4
kcc	module 4
ND-13A	module 4
ND-15	module 4
ND-ACP	module 4
ND-B14.5A	module 4
ND-B18	module 4
NP15.6	module 4
Pgk	module 4
QIL1	module 4
Scsalpha1	module 4
TM4SF	module 4
trus	module 4
Tsp42Ej	module 4
Ypel	module 4
Atg8a	module 4
CG3662	module 4
CG3793	module 4
Eno	module 4
Fis1	module 4
Gapdh2	module 4
nSyb	module 4
PyK	module 4
RNASEK	module 4
Sap47	module 4
shi	module 4
sta	module 4
Syx1A	module 4
veli	module 4
Vha14-1	module 4
Vha16-1	module 4
Vha36-1	module 4
VhaM9.7-a	module 4
CG11267	module 4
CG11752	module 4
CG44242	module 4
Mic26-27	module 4
ND-13B	module 4
ND-24	module 4
ND-ASHI	module 4
ND-B14	module 4
ND-B15	module 4
Neb-cGP	module 4
Sod2	module 4
14-3-3zeta	module 4
CG14989	module 4
Glut4EF	module 4
jim	module 4
Obp44a	module 4
Pgi	module 4
Tpi	module 4
ND-B12	module 4
UQCR-11	module 4
